fid,org,N,mean_brier,mean_brier_ref,edge,mean_abs_dev_from_ref,N_real,mean_brier_real,edge_real,brier_rank,edge_rank,beta_ref,beta_fc,se_fc,fc_rank
Meta.llama_3_8b_zero_shot,ForecastBench,567,0.18636544488536155,0.06944069700619854,-0.11692474787916303,0.24981675946119927,557,0.1852229932675045,-0.11453873055623036,54,54,1.3297553468301853,0.0665708122267786,0.08394277894430553,15.0
Meta.llama_3_8b_zero_shot_with_freeze_values,ForecastBench,567,0.1459127723197047,0.06944069700619854,-0.07647207531350618,0.18237988099735453,567,0.1459127723197047,-0.07647207531350618,17,17,1.3116111347559032,0.03764524758483407,0.08778554980493895,19.0
Mistral AI.mistral_8x22b_instruct_scratchpad,ForecastBench,567,0.1881434814814815,0.06944069700619854,-0.11870278447528294,0.2651347632089947,567,0.1881434814814815,-0.11870278447528294,57,57,1.3381323824638467,-0.04007586783834198,0.19711443593196043,39.0
Mistral AI.mistral_8x22b_instruct_scratchpad_with_freeze_values,ForecastBench,567,0.1522480501741165,0.06944069700619854,-0.08280735316791797,0.18278325420670194,565,0.15190202557296292,-0.08366206580806183,25,25,1.30749600467154,0.04988726786139261,0.1463944456472412,17.0
Mistral AI.mistral_8x22b_instruct_scratchpad_with_news,ForecastBench,567,0.1952356278659612,0.06944069700619854,-0.12579493085976268,0.2838244188400353,566,0.19513887102473498,-0.1255754890414937,69,69,1.323153670125949,0.05345975815792124,0.216658360276163,16.0
Mistral AI.mistral_8x22b_instruct_scratchpad_with_news_with_freeze_values,ForecastBench,567,0.1916619225866039,0.06944069700619854,-0.12222122558040532,0.2556602003746032,565,0.1914554161178839,-0.1217705690362873,65,65,1.3737710898549569,-0.14656899673726317,0.18226443174665805,68.0
Mistral AI.mistral_8x22b_instruct_superforecaster_with_news_1,ForecastBench,567,0.1784576121347443,0.06944069700619854,-0.10901691512854574,0.24036838713280423,563,0.17794931808241565,-0.10806205752201009,53,53,1.3396428660294262,-0.024052474360392102,0.11258643237443203,36.0
Mistral AI.mistral_8x22b_instruct_superforecaster_with_news_2,ForecastBench,567,0.2117711437389771,0.06944069700619854,-0.14233044673277856,0.29343322340194006,567,0.2117711437389771,-0.14233044673277856,87,87,1.3514748919959672,-0.13761048981118387,0.19107106534998491,66.0
Mistral AI.mistral_8x22b_instruct_superforecaster_with_news_3,ForecastBench,567,0.19969975749559085,0.06944069700619854,-0.1302590604893923,0.27649032249647265,566,0.1996108878091873,-0.1300624947175648,75,75,1.5046720867221015,-0.7435975110329798,0.2566718768997408,130.0
Mistral AI.mistral_8x22b_instruct_zero_shot,ForecastBench,567,0.18996498052910055,0.06944069700619854,-0.120524283522902,0.2384469786453263,565,0.18975246718584074,-0.12007443015400077,62,62,1.3651696281700056,-0.07513931402644125,0.13829170979969854,46.0
Mistral AI.mistral_8x22b_instruct_zero_shot_with_freeze_values,ForecastBench,567,0.19370743865095422,0.06944069700619854,-0.1242667416447557,0.18917265605731923,567,0.19370743865095422,-0.1242667416447557,68,68,1.4700385220292045,-0.274438397203171,0.1320505440012047,93.0
Mistral AI.mistral_8x7b_instruct_scratchpad,ForecastBench,567,0.22788430335097,0.06944069700619854,-0.15844360634477148,0.31909268210705466,402,0.21880696517412934,-0.15460676872337387,97,97,1.3283682814077675,0.0069184535945678045,0.21447613044432465,28.0
Mistral AI.mistral_8x7b_instruct_scratchpad_with_freeze_values,ForecastBench,567,0.2246594822148516,0.06944069700619854,-0.15521878520865304,0.28798140658730154,428,0.2164297346164038,-0.15166582066733877,96,96,1.3554878927905443,-0.09226248267026124,0.17343085851530562,53.0
Mistral AI.mistral_8x7b_instruct_scratchpad_with_news,ForecastBench,567,0.24822698412698413,0.06944069700619854,-0.1787862871207856,0.3464655440234568,335,0.24699910447761192,-0.19113381944053687,110,110,1.3627146600042588,-0.35462271478171686,0.28339347708940815,107.0
Mistral AI.mistral_8x7b_instruct_scratchpad_with_news_with_freeze_values,ForecastBench,567,0.2499353308439356,0.06944069700619854,-0.1804946338377371,0.3397146222419753,337,0.24989119462466317,-0.18921414887368296,114,114,1.3756499398137099,-0.4565959245973493,0.2353538850503401,121.0
Mistral AI.mistral_8x7b_instruct_superforecaster_with_news_1,ForecastBench,567,0.2486522106878307,0.06944069700619854,-0.17921151368163216,0.3438051496541446,303,0.2474778992079208,-0.18949213508049936,111,111,1.3377559509201593,-0.08005139076214629,0.16804981216706907,49.0
Mistral AI.mistral_8x7b_instruct_superforecaster_with_news_2,ForecastBench,567,0.2656679004067177,0.06944069700619854,-0.19622720340051922,0.3722593843432098,324,0.2774188257117561,-0.21017679736759082,122,122,1.3219850121917995,0.45671509372199004,0.28622074138255976,1.0
Mistral AI.mistral_8x7b_instruct_superforecaster_with_news_3,ForecastBench,567,0.2508864638447972,0.06944069700619854,-0.18144576683859867,0.3568998000548501,282,0.25178235815602834,-0.18562543177996066,115,115,1.3386065390985387,-0.1299535482689146,0.3456849351735262,62.0
Mistral AI.mistral_8x7b_instruct_zero_shot,ForecastBench,567,0.20633066534391534,0.06944069700619854,-0.1368899683377168,0.25555292320652556,561,0.20586361363636363,-0.13591322147607549,81,81,1.3291174496240092,0.0010775286463917198,0.08753594456843485,30.0
Mistral AI.mistral_8x7b_instruct_zero_shot_with_freeze_values,ForecastBench,567,0.15433830037839996,0.06944069700619854,-0.08489760337220144,0.1485003600606702,567,0.15433830037839996,-0.08489760337220144,29,29,1.3655102947283817,-0.06153624714665663,0.09387047273964715,43.0
Mistral AI.mistral_large_scratchpad,ForecastBench,567,0.19199445546737215,0.06944069700619854,-0.1225537584611736,0.27301783074021163,567,0.19199445546737215,-0.1225537584611736,66,66,1.353235580704074,-0.10632483795820008,0.22882147421110913,57.0
Mistral AI.mistral_large_scratchpad_with_freeze_values,ForecastBench,567,0.15131679571641313,0.06944069700619854,-0.08187609871021462,0.1871232380488536,566,0.15114244376538208,-0.08158746558183161,24,24,1.4326599658912706,-0.2421340365696573,0.1887755227958022,87.0
Mistral AI.mistral_large_scratchpad_with_news,ForecastBench,567,0.2210295524691358,0.06944069700619854,-0.1515888554629373,0.31440178392857143,567,0.2210295524691358,-0.1515888554629373,94,94,1.3274593816716909,0.018280594919672426,0.21918131384134734,23.0
Mistral AI.mistral_large_scratchpad_with_news_with_freeze_values,ForecastBench,567,0.2142528386243386,0.06944069700619854,-0.1448121416181401,0.2827964204626102,566,0.21418968109540634,-0.14466325209913503,89,89,1.3974006982717857,-0.3344719731148961,0.20878258331008967,104.0
Mistral AI.mistral_large_superforecaster_with_news_1,ForecastBench,567,0.21730544624779538,0.06944069700619854,-0.1478647492415969,0.2690119275155203,565,0.21718971331415926,-0.14753134785821537,92,92,1.3879688907624452,-0.22941753683859584,0.14392588216057242,86.0
Mistral AI.mistral_large_superforecaster_with_news_2,ForecastBench,567,0.2420783454850088,0.06944069700619854,-0.17263764847881027,0.30250948409894174,567,0.2420783454850088,-0.17263764847881027,107,107,1.4659540672757185,-0.5347002744399012,0.1630727270649021,127.0
Mistral AI.mistral_large_superforecaster_with_news_3,ForecastBench,567,0.2316064942680776,0.06944069700619854,-0.1621657972618791,0.3119929708202822,567,0.2316064942680776,-0.1621657972618791,99,99,1.3992101240811408,-0.3579902437108515,0.21462298964172766,108.0
